sub_index,utype,domain,followers,friends,total_tweets,years,chars_combined,quesmark_combined,punc_combined,tagpermsg_combined,mentpermsg_combined,percent_msgwithment_combined,percent_msgwithtag_combined,percent_msgwithurl_combined,org_med_combined,org_med_np_combined,org_med_vp_combined,exmark_combined,first,interj,slang,sentiment,active_vb,semi_combined
0.5333333330000001,friend,Science,1341.0,1923.0,15.0,5.309589041,106.0666667,0.0,2.866666667,0.0,0.066666667,0.066666667,0.0,1.0,5.0,3.0,3.0,0.0,0.133333333,0.2,0.266666667,0.0,0.0,0.066666667
0.245491293,between100-10msgs,Technology,20.0,81.0,270.0,1.756164384,96.59141790000001,0.7518656715,3.5279850745,3.8264925375,1.005597015,0.75,0.7369402985,0.7350746269999999,2.0,2.0,0.0,0.026119403,0.020833333,0.083333333,0.0625,0.052083333,0.041666667,0.041044776
1.7569444440000002,friend,Fitness,933.0,1071.0,36.0,2.106849315,136.1388889,0.111111111,4.722222222,2.111111111,2.194444444,1.0,0.777777778,0.805555556,5.0,2.0,4.0,0.194444444,0.1875,0.4375,0.5,0.5,0.1875,0.25
4.0,Random,Unknown,669.0,2001.0,1.0,2.005479452,98.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,10.0,2.0,9.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
0.138641043,morethan100msgs,Fitness,16.0,168.0,93.0,1.676712329,138.6236559,0.0,4.935483871,7.602150538,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.043010753,0.042553191,0.0,0.063829787,0.0,0.0,0.010752688
0.604166667,between10-3msgs,Technology,134.0,309.0,16.0,1.95890411,115.25,0.125,4.875,0.625,1.0,0.9375,0.4375,0.9375,5.5,2.0,4.5,0.0,0.111111111,0.0,0.555555556,0.0,0.0,0.0625
1.0,Random,Unknown,261.0,244.0,1.0,4.087671233,91.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.515934066,morethan100msgs,Fitness,548.0,1325.0,424.0,0.21369863,99.16593405,0.0826923075,3.408058608,1.3091575095,1.0,1.0,0.5083333335,1.0,4.5,2.0,3.0,0.2915750915,0.404761905,0.471428571,0.833333333,0.30952381,0.261904762,0.0565934065
1.021548146,between100-10msgs,Technology,1687.0,1946.0,420.0,7.189041096,110.15264425000001,0.153846154,4.548076923,0.7391826925,0.75,0.375,0.514423077,0.75,7.0,2.5,5.5,0.007211538,0.175059952,0.021582734,0.462829736,0.160671463,0.215827338,0.021634615
2.8060728740000003,mentioned,Technology,7624.0,2136.0,48.0,7.610958904,89.17368421,0.244736842,2.6736842105,0.0631578945,1.357894737,0.907894737,0.0631578945,0.2263157895,5.5,2.0,4.0,0.089473684,0.333333333,0.358974359,1.051282051,0.435897436,0.58974359,0.052631579
3.0,mentioned,Science,308.0,33.0,2.0,3.717808219,43.5,0.0,1.5,0.0,1.5,1.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0
0.125219298,morethan100msgs,Fitness,15.0,156.0,95.0,1.673972603,138.8842105,0.0,4.863157895,7.715789474,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.031578947,0.041666667,0.0,0.0625,0.0,0.0,0.010526316
1.0,Random,Unknown,6.0,27.0,1.0,1.536986301,77.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.315789474,mentioned,Business,11063.0,437.0,20.0,5.060273973,129.10526314999998,0.605263158,2.789473684,0.263157895,1.2631578945,0.657894737,0.6315789475,0.8157894735,10.0,6.0,8.5,1.052631579,0.684210526,0.421052632,2.157894737,1.0,1.0,0.0
0.587651821,between100-10msgs,Technology,133.0,47.0,494.0,2.465753425,128.4878543,0.006072874,4.781376518,4.465587045,0.0,0.0,1.0,0.86437247,5.0,2.0,3.0,0.022267206,0.134615385,0.119230769,0.165384615,0.05,0.096153846,0.0
1.0,Random,Unknown,931.0,539.0,1.0,3.679452055,55.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.28365384700000007,mentioned,Fitness,703.0,57.0,16.0,6.917808219,134.4375,0.0,3.6875,4.625,0.875,0.625,0.9375,1.0,6.0,3.0,3.5,0.0,0.076923077,0.230769231,0.230769231,0.153846154,0.153846154,0.5625
0.0,between100-10msgs,Technology,2435.0,730.0,2.0,1.739726027,110.5,0.0,3.5,0.0,1.0,1.0,1.0,1.0,7.0,3.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.307692308,morethan100msgs,Technology,1249.0,347.0,13.0,2.863013699,126.66666665,0.166666667,4.0,4.0833333335,0.0,1.0,1.0,1.0,5.0,2.5,4.0,0.0,0.0,0.307692308,0.307692308,0.692307692,0.0,0.0
18.0,morethan100msgs,Technology,42.0,1.0,652.0,1.726027397,76.99693252,0.0,6.101226994,2.050613497,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0
0.6870567369999999,morethan100msgs,Fitness,1215.0,1465.0,377.0,2.087671233,131.25,1.0,3.7593085105,2.7313829785,3.492021277,1.0,1.0,1.0,6.5,2.0,10.0,0.058510638,0.163120567,0.829787234,0.226950355,0.042553191,0.007092199,0.640957447
1.0,Random,Unknown,7650.0,392.0,1.0,6.263013699,140.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,Random,Unknown,488.0,521.0,1.0,2.378082192,140.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.9413509114999999,morethan100msgs,Fitness,106.0,6.0,960.0,2.052054795,75.047425475,0.0,2.7171013265,3.8598176889999998,0.09680427949999999,0.09680427949999999,0.9959349595,1.0,2.0,2.0,0.0,0.4401330375,0.018808777,0.060606061,0.315569488,0.07523511,0.034482759,0.003484321
2.0,between10-3msgs,Technology,55.0,132.0,4.0,5.942465753,125.25,0.0,2.75,5.25,0.0,0.0,1.0,0.5,4.0,2.5,2.0,0.0,0.25,0.0,1.0,0.5,0.25,0.0
0.0,Random,Unknown,368.0,684.0,1.0,2.654794521,61.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.832136921,morethan100msgs,Fitness,9856.0,177.0,535.0,0.315068493,110.7698039,0.062745098,3.5766666665,1.531764706,1.4370588235000001,0.98,0.94,0.94,5.5,2.0,3.0,0.452941176,0.389830508,0.966101695,0.762711864,0.207627119,0.131355932,0.078431373
1.9,morethan100msgs,Technology,1370.0,1781.0,6.0,3.326027397,106.8,0.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.9,0.0,0.0,0.75,0.0,0.25,0.0
0.18330301250000003,morethan100msgs,Fitness,766.0,20.0,5757.0,4.136986301,133.45024145000002,0.0160298195,4.1801567795,3.9880183185,0.002513465,0.5012567325,1.0,1.0,3.5,3.0,2.0,0.038875661,0.029401219,0.052527788,0.08013625,0.007350305,0.031731804,0.0567200145
4.5148398064999995,morethan100msgs,Fitness,6423.0,1195.0,1086.0,5.542465753,114.73016605000001,0.052583026,4.4169741694999995,2.7214022140000003,0.7043357935,0.6383763840000001,0.889298893,0.755535055,5.0,2.0,4.0,2.2361623615,0.558031569,0.228412256,1.376973073,0.086350975,0.048282266,0.019372694
2.3934099975,mentioned,Business,496.0,239.0,24.0,2.394520548,128.78991595,0.294117647,5.6218487395,1.323529412,1.0378151265,0.7352941175000001,0.9705882355,1.0,6.0,2.0,5.0,0.18907563049999998,0.421052632,0.263157895,1.052631579,0.421052632,0.105263158,0.058823529
